Institution,Latitude,Longitude
Columbia University,40.8075,-73.9626
Boston Children's Hospital,42.3498,-71.1056
Penn State University,40.7982,-77.8599
MDI Biological Laboratory,44.2605,-68.2182
University of Florida,29.6516,-82.3249
Cedars-Sinai Medical Center,34.0736,-118.4004
Stanford University,37.4275,-122.1697
Loyola University Chicago, 41.8781,-87.6298
University of Pittsburgh,40.4442,-79.9608
VA Boston,42.3601,-71.0589
Southern Illinois University,37.7474,-89.2050
Case Western Reserve University,41.5015,-81.6050
University of Wisconsin-Madison,43.0766,-89.4125
University of Massachusetts Boston,42.3365,-71.1056
University of Texas Southwestern,32.8002,-96.8143
Macon & Joan Brock Virginia Health Sciences at Old Dominion University,36.8468,-76.2859
Exact Sciences,43.0747,-89.3842
Wake Forest University,36.1314,-80.2775
Johns Hopkins University,39.3299,-76.6205
Touro College of Osteopathic Medicine,40.7128,-74.0060
"University of California, San Francisco",37.7749,-122.4194
University of Iowa,41.6611,-91.5302
University of Michigan,42.278,-83.7382
Duke University,36.0014,-78.9382
ViiV Healthcare,35.9921772,-78.9054176
Korea University,37.5665,126.9779
University of Alabama at Birmingham,33.5007,-86.8027
NYU Langone Health,40.7365,-73.9994
Albert Einstein College of Medicine,40.8450,-73.8648
"Beaumont Hospital, Royal Oak",42.5442,-83.1849
Washington University in St. Louis,38.6488,-90.3108
Michigan State University,42.7368,-84.4822
NIH,38.9808,-77.1004
Children's Hospital of Philadelphia,39.9497,-75.1939
University of Pennsylvania,39.9523,-75.1932
University of Chicago,41.7897,-87.5997
Downstate Health Sciences University,40.6501,-73.9496
Insight Medical Genetics,38.8951,-77.0364
Virginia Tech,37.2284,-80.4234
Harvard University,42.3770,-71.1167
Medical College of Wisconsin,43.0406,-88.03
University of Illinois Chicago,41.8369,-87.6847
NorthShore University HealthSystem,42.0834,-87.7333
Purdue University,40.4237,-86.9212
George Washington University,38.8951,-77.0364
University of Tennessee HSC,35.9534,-83.9294
Medical University of South Carolina,32.7845,-79.9474
Vanderbilt University,36.1447,-86.8027
Syneos Health,35.9933,-78.9054
Baylor College of Medicine,29.9502,-95.4016
University of Alabama at Huntsville,34.7304,-86.5861
Houston Methodist Hospital,29.7189,-95.4018
University of Colorado,40.0076,-105.2659
Contract - GR Thomas Advisors LLC,38.8951,-77.0364
Children's Mercy Hospital,39.0997,-94.5786
University of Vermont,44.4759,-73.2121
University of Arkansas,34.7465,-92.2896
NIDDK,38.9808,-77.1004
Cornell University,42.4534,-76.4735
Augusta University,33.47,-81.9748
Northwestern University,42.0565,-87.6753
University of Southern California,34.0224,-118.2851
University of Washington,47.6553,-122.3035
Children's Hospital of Eastern Ontario,45.4215,-75.6972
Indiana University Bloomington,39.1653,-86.5269
Institut Pasteur,48.8422,2.3444
University of Notre Dame,41.7038,-86.2383
Angkor Hospital for Children,13.3592,103.8556
Boston University,42.3505,-71.1056
CHU Dijon,47.3221,5.0415
Cleveland Clinic,41.5055,-81.6200
Yale University,41.3163,-72.9223
Dartmouth Hitchcock Medical Center,43.6884,-72.2882
University of Texas at Austin,30.2849,-97.7341
Industry,,
Life Management Science Labs,38.8951,-77.0364
Montefiore Medical Center,40.8505,-73.8652
Nationwide Children's Hospital,39.9612,-82.9988
Nigeria,9.082,-8.6753
Non-profit,38.8951,-77.0364
NewYork-Presbyterian,40.8400,-73.8654
Oregon Health and Science University,45.5051,-122.6750
Ohio State University,40.0022,-83.0132
Plano West HS,33.0226,-96.6989
University of Texas Health Science Center at Houston,29.7335,-95.4018
"University of California, San Diego",32.8809,-117.2340
University of Abuja,8.9492,7.4951
University at Buffalo,42.4438,-78.8784
University of Manchester,53.4668,-2.2337
University of Queensland,-27.4973,153.0123
University of Texas at Dallas,32.9984,-96.7499
Georgetown University,38.9072,-77.0710
Joseph Sarwuan Tarka University,9.3292,8.5320
Western University,43.6629,-79.3957
Virginia Commonwealth University,37.5490,-77.4336
University of Utah,40.7608,-111.8910
