Record ID,Current Institution    List the person's current institution. Select the name of the insitutation from the drop down (list is in alphabetical order). 
1,Columbia University
2,Columbia University
3,Columbia University
4,Columbia University
5,Columbia University
6,Columbia University
7,Columbia University
8,Columbia University
9,Columbia University
10,Boston Children's Hospital
11,Penn State University
12,MDI Biological Laboratory
13,University of Florida
14,Cedars-Sinai Medical Center
15,Stanford University
16,Loyola University Chicago
17,Columbia University
18,Columbia University
19,Columbia University
20,University of Pittsburgh
21,University of Pittsburgh
22,University of Pittsburgh
23,University of Pittsburgh
24,University of Pittsburgh
25,University of Pittsburgh
26,University of Pittsburgh
27,VA Boston
28,University of Pittsburgh
29,University of Pittsburgh
30,University of Pittsburgh
31,University of Pittsburgh
32,Southern Illinois University
33,University of Pittsburgh
34,University of Pittsburgh
35,Case Western Reserve University
36,University of Pittsburgh
37,University of Pittsburgh
38,University of Wisconsin-Madison
39,University of Massachusetts Boston
40,University of Wisconsin-Madison
41,University of Texas Southwestern
42,University of Wisconsin-Madison
43,University of Wisconsin-Madison
45,University of Wisconsin-Madison
46,University of Wisconsin-Madison
47,Macon & Joan Brock Virginia Health Sciences at Old Dominion University
48,University of Wisconsin-Madison
49,University of Wisconsin-Madison
50,University of Wisconsin-Madison
51,Exact Sciences
52,University of Wisconsin-Madison
53,University of Wisconsin-Madison
55,University of Wisconsin-Madison
57,University of Massachusetts Boston
58,University of Wisconsin-Madison
59,University of Wisconsin-Madison
60,University of Wisconsin-Madison
61,University of Wisconsin-Madison
62,University of Wisconsin-Madison
63,University of Wisconsin-Madison
64,Wake Forest University
65,University of Wisconsin-Madison
66,University of Wisconsin-Madison
67,University of Massachusetts Boston
68,University of Wisconsin-Madison
69,University of Wisconsin-Madison
70,Johns Hopkins University
71,University of Wisconsin-Madison
72,Touro College of Osteopathic Medicine
73,University of Wisconsin-Madison
74,University of Wisconsin-Madison
75,"University of California, San Francisco"
76,University of Wisconsin-Madison
77,University of Iowa
78,University of Michigan
79,Stanford University
80,Stanford University
81,Stanford University
82,Stanford University
83,Stanford University
84,Stanford University
85,Stanford University
86,Stanford University
87,Stanford University
88,Stanford University
89,Stanford University
90,Stanford University
92,Duke University
93,Duke University
94,ViiV Healthcare
95,Duke University
96,Duke University
97,Duke University
98,Duke University
99,Duke University
100,Korea University
101,Duke University
102,Duke University
103,Duke University
104,Duke University
105,University of Wisconsin-Madison
106,University of Wisconsin-Madison
107,University of Wisconsin-Madison
108,University of Wisconsin-Madison
109,University of Wisconsin-Madison
110,University of Wisconsin-Madison
111,University of Wisconsin-Madison
112,University of Wisconsin-Madison
113,University of Wisconsin-Madison
114,University of Wisconsin-Madison
115,University of Wisconsin-Madison
116,University of Wisconsin-Madison
117,"University of California, San Francisco"
118,"University of California, San Francisco"
119,"University of California, San Francisco"
120,"University of California, San Francisco"
121,University of Alabama at Birmingham
122,"University of California, San Francisco"
123,Stanford University
124,University of Michigan
125,University of Michigan
126,University of Michigan
127,NYU Langone Health
128,University of Michigan
129,University of Michigan
130,Albert Einstein College of Medicine
131,Albert Einstein College of Medicine
132,Albert Einstein College of Medicine
133,Albert Einstein College of Medicine
134,Albert Einstein College of Medicine
135,"Beaumont Hospital, Royal Oak"
136,"Beaumont Hospital, Royal Oak"
137,"Beaumont Hospital, Royal Oak"
138,Washington University in St. Louis
139,Michigan State University
140,"Beaumont Hospital, Royal Oak"
141,University of Texas Southwestern
142,"Beaumont Hospital, Royal Oak"
143,"Beaumont Hospital, Royal Oak"
144,NIH
146,Michigan State University
147,Michigan State University
148,Michigan State University
149,Michigan State University
150,Michigan State University
151,"Beaumont Hospital, Royal Oak"
152,"Beaumont Hospital, Royal Oak"
154,Children's Hospital of Philadelphia
155,University of Pennsylvania
156,University of Pennsylvania
157,University of Chicago
158,University of Pennsylvania
159,Children's Hospital of Philadelphia
160,University of Pennsylvania
161,Downstate Health Sciences University
162,University of Pennsylvania
163,Columbia University
164,Insight Medical Genetics
165,Columbia University
166,Columbia University
167,Columbia University
168,Columbia University
169,Columbia University
170,Duke University
171,Virginia Tech
172,Duke University
173,Duke University
174,Duke University
175,University of Florida
176,Harvard University
177,Harvard University
178,Harvard University
179,Harvard University
180,Harvard University
181,Harvard University
182,Harvard University
183,Medical College of Wisconsin
184,Medical College of Wisconsin
185,Medical College of Wisconsin
186,Medical College of Wisconsin
187,Medical College of Wisconsin
189,Medical College of Wisconsin
190,Medical College of Wisconsin
191,Medical College of Wisconsin
192,Medical College of Wisconsin
193,University of Illinois Chicago
194,Medical College of Wisconsin
195,University of Florida
196,Medical College of Wisconsin
197,Medical College of Wisconsin
198,NorthShore University HealthSystem
199,Purdue University
200,NorthShore University HealthSystem
201,NorthShore University HealthSystem
202,Purdue University
203,George Washington University
204,NorthShore University HealthSystem
205,Purdue University
206,NorthShore University HealthSystem
207,University of Alabama at Birmingham
208,University of Alabama at Birmingham
209,University of Alabama at Birmingham
210,University of Alabama at Birmingham
211,University of Texas Southwestern
212,University of Alabama at Birmingham
213,University of Alabama at Birmingham
214,University of Alabama at Birmingham
215,University of Alabama at Birmingham
216,University of Alabama at Birmingham
217,University of Alabama at Birmingham
218,University of Alabama at Birmingham
219,University of Pittsburgh
220,University of Tennessee HSC
221,University of Tennessee HSC
222,University of Tennessee HSC
223,University of Tennessee HSC
224,Medical University of South Carolina
225,University of Tennessee HSC
226,University of Tennessee HSC
227,Vanderbilt University
228,Vanderbilt University
229,Vanderbilt University
230,NIH
231,Vanderbilt University
232,Vanderbilt University
233,Syneos Health
234,Vanderbilt University
235,Vanderbilt University
236,Vanderbilt University
237,Vanderbilt University
238,Vanderbilt University
239,Vanderbilt University
240,Vanderbilt University
241,Baylor College of Medicine
242,Washington University in St. Louis
243,Washington University in St. Louis
244,Washington University in St. Louis
245,University of Alabama at Huntsville
246,University of Alabama at Huntsville
247,University of Alabama at Huntsville
248,University of Alabama at Huntsville
249,Duke University
250,University of Alabama at Huntsville
251,Houston Methodist Hospital
252,Houston Methodist Hospital
253,Houston Methodist Hospital
254,Houston Methodist Hospital
255,University of Colorado
256,University of Wisconsin-Madison
257,University of Michigan
260,Contract - GR Thomas Advisors LLC
261,University of Wisconsin-Madison
262,Children's Mercy Hospital
263,University of Vermont
264,University of Texas Southwestern
265,University of Pittsburgh
266,University of Arkansas
267,NIH
268,NIDDK
269,NIDDK
270,
271,University of Wisconsin-Madison
272,University of Vermont
273,Duke University
274,
275,Harvard University
276,
